date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:43:36	243/243	---MC-	403	error ('Forbidden')	application/xml	date:Sat,%2010%20Aug%202024%2013:43:35%20GMT	https://luma.humatheme.com/robots.txt		(from )
16:43:36	170497/170497	U-----	200	untouched ('OK')	text/html	etag:%22883ac7eba3f08eda2c80cee028cfbac4%22	https://luma.humatheme.com/Demos/App_Layout/index.html	/home/jean/websites/Learnhub/luma.humatheme.com/Demos/App_Layout/index.html	(from )
16:43:36	49/49	------	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sat,%2010%20Aug%202024%2013:11:56%20GMT	https://luma.humatheme.com/public/images/photodune-4161018-group-of-students-m.jpg	/home/jean/websites/Learnhub/luma.humatheme.com/public/images/photodune-4161018-group-of-students-m.jpg	(from https://luma.humatheme.com/Demos/App_Layout/index.html)
16:43:37	243/243	---MC-	403	error ('Forbidden')	application/xml	date:Sat,%2010%20Aug%202024%2013:43:37%20GMT	https://luma.humatheme.com/Demos/App_Layout/departments.html	/home/jean/websites/Learnhub/luma.humatheme.com/Demos/App_Layout/departments.html	(from https://luma.humatheme.com/Demos/App_Layout/index.html)
16:43:38	243/243	---MC-	403	error ('Forbidden')	application/xml	date:Sat,%2010%20Aug%202024%2013:43:37%20GMT	https://luma.humatheme.com/Demos/App_Layout/kanban.html	/home/jean/websites/Learnhub/luma.humatheme.com/Demos/App_Layout/kanban.html	(from https://luma.humatheme.com/Demos/App_Layout/index.html)
16:43:39	243/243	---MC-	403	error ('Forbidden')	application/xml	date:Sat,%2010%20Aug%202024%2013:43:38%20GMT	https://luma.humatheme.com/Demos/App_Layout/edit-product.html	/home/jean/websites/Learnhub/luma.humatheme.com/Demos/App_Layout/edit-product.html	(from https://luma.humatheme.com/Demos/App_Layout/index.html)
16:43:40	200380/200380	U-----	200	untouched ('OK')	text/html	etag:%22b839e36ee1d3e8d7031985e3836969b0%22	https://luma.humatheme.com/Demos/App_Layout/courses.html	/home/jean/websites/Learnhub/luma.humatheme.com/Demos/App_Layout/courses.html	(from https://luma.humatheme.com/Demos/App_Layout/index.html)
16:43:40	157602/157602	U-----	200	untouched ('OK')	text/html	etag:%22a83b50019b9ae4939ab8e747b3788605%22	https://luma.humatheme.com/Demos/App_Layout/student-course.html	/home/jean/websites/Learnhub/luma.humatheme.com/Demos/App_Layout/student-course.html	(from https://luma.humatheme.com/Demos/App_Layout/index.html)
16:43:40	79465/79465	U-----	200	untouched ('OK')	text/html	etag:%22a630b3fdf979df96c5f10fc09c14d59d%22	https://luma.humatheme.com/Demos/App_Layout/student-lesson.html	/home/jean/websites/Learnhub/luma.humatheme.com/Demos/App_Layout/student-lesson.html	(from https://luma.humatheme.com/Demos/App_Layout/index.html)
16:43:40	1009/1009	U--MC-	200	updated ('OK')	text/css	date:Sat,%2010%20Aug%202024%2013:43:40%20GMT	https://fonts.googleapis.com/css?family=Lato:400,700%7CRoboto:400,500%7CExo+2:600&display=swap	/home/jean/websites/Learnhub/fonts.googleapis.com/css8f03.css	(from https://luma.humatheme.com/Demos/App_Layout/index.html)
16:43:41	49/49	------	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sat,%2010%20Aug%202024%2013:11:56%20GMT	https://luma.humatheme.com/public/vendor/jquery.min.js	/home/jean/websites/Learnhub/luma.humatheme.com/public/vendor/jquery.min.js	(from https://luma.humatheme.com/Demos/App_Layout/index.html)
