date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:06:34	170497/170497	---M--	200	added ('OK')	text/html	etag:%22883ac7eba3f08eda2c80cee028cfbac4%22	https://luma.humatheme.com/Demos/App_Layout/index.html	/home/jean/websites/Learnhub/luma.humatheme.com/Demos/App_Layout/index.html	(from )
16:06:35	243/243	---MC-	403	error ('Forbidden')	application/xml	date:Sat,%2010%20Aug%202024%2013:06:34%20GMT	https://luma.humatheme.com/robots.txt		(from )
16:06:36	1009/1009	---MC-	200	added ('OK')	text/css	date:Sat,%2010%20Aug%202024%2013:06:35%20GMT	https://fonts.googleapis.com/css?family=Lato:400,700%7CRoboto:400,500%7CExo+2:600&display=swap	/home/jean/websites/Learnhub/fonts.googleapis.com/css8f03.css	(from https://luma.humatheme.com/Demos/App_Layout/index.html)
16:06:37	14782/14782	---M--	200	added ('OK')	text/css	etag:%22315641f20ca718539884495530a364bc%22	https://luma.humatheme.com/public/vendor/spinkit.css	/home/jean/websites/Learnhub/luma.humatheme.com/public/vendor/spinkit.css	(from https://luma.humatheme.com/Demos/App_Layout/index.html)
16:06:37	2598/2598	---M--	200	added ('OK')	text/css	etag:%226f36b1309fbbde634a5d54dd1734274a%22	https://luma.humatheme.com/public/vendor/perfect-scrollbar.css	/home/jean/websites/Learnhub/luma.humatheme.com/public/vendor/perfect-scrollbar.css	(from https://luma.humatheme.com/Demos/App_Layout/index.html)
16:06:39	66490/66490	---M--	200	added ('OK')	text/css	etag:%22a1ca9d48bb1dd404f60ad2ec0f9d79e9%22	https://luma.humatheme.com/public/css/material-icons.css	/home/jean/websites/Learnhub/luma.humatheme.com/public/css/material-icons.css	(from https://luma.humatheme.com/Demos/App_Layout/index.html)
16:06:40	61460/61460	---M--	200	added ('OK')	text/css	etag:%220ef6617d4809c7befc7bafe4720a7b96%22	https://luma.humatheme.com/public/css/fontawesome.css	/home/jean/websites/Learnhub/luma.humatheme.com/public/css/fontawesome.css	(from https://luma.humatheme.com/Demos/App_Layout/index.html)
16:06:40	197/197	---M--	200	added ('OK')	text/css	etag:%2287097a06bed907ede48b2659a2828487%22	https://luma.humatheme.com/public/css/preloader.css	/home/jean/websites/Learnhub/luma.humatheme.com/public/css/preloader.css	(from https://luma.humatheme.com/Demos/App_Layout/index.html)
16:06:43	6111/6111	---M--	200	added ('OK')	image/svg+xml	etag:%227d3fe9729bf14d219d41c068d69ab2c9%22	https://luma.humatheme.com/public/images/illustration/student/128/white.svg	/home/jean/websites/Learnhub/luma.humatheme.com/public/images/illustration/student/128/white.svg	(from https://luma.humatheme.com/Demos/App_Layout/index.html)
16:06:45	200380/200380	---M--	200	added ('OK')	text/html	etag:%22b839e36ee1d3e8d7031985e3836969b0%22	https://luma.humatheme.com/Demos/App_Layout/courses.html	/home/jean/websites/Learnhub/luma.humatheme.com/Demos/App_Layout/courses.html	(from https://luma.humatheme.com/Demos/App_Layout/index.html)
16:06:45	157602/157602	---M--	200	added ('OK')	text/html	etag:%22a83b50019b9ae4939ab8e747b3788605%22	https://luma.humatheme.com/Demos/App_Layout/student-course.html	/home/jean/websites/Learnhub/luma.humatheme.com/Demos/App_Layout/student-course.html	(from https://luma.humatheme.com/Demos/App_Layout/index.html)
16:06:45	705108/705108	---M--	200	added ('OK')	text/css	etag:%2296a201d5c55089d3210d4971d2913302%22	https://luma.humatheme.com/public/css/app.css	/home/jean/websites/Learnhub/luma.humatheme.com/public/css/app.css	(from https://luma.humatheme.com/Demos/App_Layout/index.html)
16:06:47	79465/79465	---M--	200	added ('OK')	text/html	etag:%22a630b3fdf979df96c5f10fc09c14d59d%22	https://luma.humatheme.com/Demos/App_Layout/student-lesson.html	/home/jean/websites/Learnhub/luma.humatheme.com/Demos/App_Layout/student-lesson.html	(from https://luma.humatheme.com/Demos/App_Layout/index.html)
16:06:47	161567/161567	---M--	200	added ('OK')	text/html	etag:%22962620f747dbff849127469eca11d680%22	https://luma.humatheme.com/Demos/App_Layout/student-take-course.html	/home/jean/websites/Learnhub/luma.humatheme.com/Demos/App_Layout/student-take-course.html	(from https://luma.humatheme.com/Demos/App_Layout/index.html)
16:06:48	85826/85826	---M--	200	added ('OK')	text/html	etag:%223daffc5a98dfbc5719183af3d23a3937%22	https://luma.humatheme.com/Demos/App_Layout/student-take-lesson.html	/home/jean/websites/Learnhub/luma.humatheme.com/Demos/App_Layout/student-take-lesson.html	(from https://luma.humatheme.com/Demos/App_Layout/index.html)
16:06:49	79700/79700	---M--	200	added ('OK')	text/html	etag:%228ae935fb87a0ca5457bb3c96afe7c842%22	https://luma.humatheme.com/Demos/App_Layout/student-take-quiz.html	/home/jean/websites/Learnhub/luma.humatheme.com/Demos/App_Layout/student-take-quiz.html	(from https://luma.humatheme.com/Demos/App_Layout/index.html)
16:06:51	77375/77375	---M--	200	added ('OK')	text/html	etag:%228afe7044d4f7168647aa04e8d6a5055f%22	https://luma.humatheme.com/Demos/App_Layout/student-quiz-result-details.html	/home/jean/websites/Learnhub/luma.humatheme.com/Demos/App_Layout/student-quiz-result-details.html	(from https://luma.humatheme.com/Demos/App_Layout/index.html)
16:06:51	171674/171674	---M--	200	added ('OK')	text/html	etag:%2293565f8f407d8d52f3681fca80a16bd8%22	https://luma.humatheme.com/Demos/App_Layout/student-dashboard.html	/home/jean/websites/Learnhub/luma.humatheme.com/Demos/App_Layout/student-dashboard.html	(from https://luma.humatheme.com/Demos/App_Layout/index.html)
16:06:52	259602/259602	---M--	200	added ('OK')	text/html	etag:%22d756bd196b4b640d27978f52db93566f%22	https://luma.humatheme.com/Demos/App_Layout/student-my-courses.html	/home/jean/websites/Learnhub/luma.humatheme.com/Demos/App_Layout/student-my-courses.html	(from https://luma.humatheme.com/Demos/App_Layout/index.html)
16:06:53	103186/103186	---M--	200	added ('OK')	text/html	etag:%225170814f97f5d5af486c8a92e82c8164%22	https://luma.humatheme.com/Demos/App_Layout/student-quiz-results.html	/home/jean/websites/Learnhub/luma.humatheme.com/Demos/App_Layout/student-quiz-results.html	(from https://luma.humatheme.com/Demos/App_Layout/index.html)
16:06:54	80858/80858	---M--	200	added ('OK')	text/html	etag:%22f77208292cc4ddb0b86c735a15c884a9%22	https://luma.humatheme.com/Demos/App_Layout/help-center.html	/home/jean/websites/Learnhub/luma.humatheme.com/Demos/App_Layout/help-center.html	(from https://luma.humatheme.com/Demos/App_Layout/index.html)
16:06:56	183825/183825	---M--	200	added ('OK')	text/html	etag:%22687a709da1ea32edef478fe56f1b770e%22	https://luma.humatheme.com/Demos/App_Layout/paths.html	/home/jean/websites/Learnhub/luma.humatheme.com/Demos/App_Layout/paths.html	(from https://luma.humatheme.com/Demos/App_Layout/index.html)
16:06:56	159422/159422	---M--	200	added ('OK')	text/html	etag:%2290bcf0e3813834afb8d39927b97eb497%22	https://luma.humatheme.com/Demos/App_Layout/student-path.html	/home/jean/websites/Learnhub/luma.humatheme.com/Demos/App_Layout/student-path.html	(from https://luma.humatheme.com/Demos/App_Layout/index.html)
16:06:58	79174/79174	---M--	200	added ('OK')	text/html	etag:%2265876d720c191131931e3740e9672dbd%22	https://luma.humatheme.com/Demos/App_Layout/student-path-assessment.html	/home/jean/websites/Learnhub/luma.humatheme.com/Demos/App_Layout/student-path-assessment.html	(from https://luma.humatheme.com/Demos/App_Layout/index.html)
